,Transcription,good1,good2,good3,good4,good5,good6,good7
,,that it helps you socialize,that it helps you relax,that it helps you have fun,that it tastes good,that you like how it makes you feel,that it makes you feel part of a group,that it helps you enjoy other activities more
500,"Um, well I like that it creates a type of environment, a social environment, where you can talk with your friends, um it’s, uh kind of a consumable that allows for uh, um, and is representative of like a relaxation time. Uh, and then it can sometimes allow you to have more fun when you go out dancing or to different bars. ",1,1,1,1,0,0,0
503,": I like to relax and have a beer. Um, and, while watching TV or a movie or playing a video game. It makes it more entertaining. Uh, I like friends and drinking with friends. ",1,1,0,0,0,0,0
505,"It really helps me with social situations. So I normally don’t really try to socialize with other people unless I’m drinking. Um, I--I like the feeling of um, it relaxes you and it kind of gets ready, gets rid of your, um, whatevers stuck, has been on your mind and building up all week. Um, and oh yeah, I think the big one for me is it makes me a lot less self-conscious     ",1,1,0,0,1,1,0
506,"Uh, it’s a good way to go out and have fun with my friends. Um, it eases some social anxieties. Makes it easier to talk to strangers and makes a lot of people more friendly to engage in conversation, which is fun. Uh, it’s nice to go out drinking with friends, um it eases some social tensions and anxiety, makes it easier to talk to people, um makes a lot at parties, tends to make people a little friendlier, more open to meeting new people. Um, it’s a good way to go out and just have fun. ",1,0,1,0,0,1,1
507,"Um, uh it’s a social activity on campus. Um, it’s fun with my friends. Um, it’s fun. ",1,0,1,0,0,0,0
509,"Um, so I’m in a Greek house and being there sometimes alcohol is kind of a way we’ve decompressed on the weekend. We’re really busy most of the time and it’s a good way just to hang out with each other. I think, I think just the social aspect of it is the main thing I enjoy. I also kind of enjoy the taste of certain brands of alcohol, which is just a pleasant experience in itself. ",1,1,0,1,0,0,0
511,"Uh, it’s fun and uh especially like the uh drinking games, uhm, but I also like the fact that it’s social, uh, like a lot of people, uh, bond over drinking and, uh, it’s just kind of fun to do with your friends. Um, well I don’t like the flavor, but uh, I don’t know, I mean, the buzz is pretty nice. Uhm, but it’s not something that like I need to be social, it’s just like, I like being social and usually that revolves around drinking at a college age, so. ",1,0,1,0,0,0,0
512,"Hmmm. It helps me let loose and forget about school for a night [laughs], and spend time with my friends, um, and just be silly and fun with people. It’s something I share with people. ",1,1,1,0,0,1,0
517,"Uhm, generally it’s fun and it’s, you know, a social activity. Um, beyond, gen-yeah. [laughs] Um, it helps, it’s- it like reduces like social inhibitions, so it’s more natural to be like socializing, I guess. ",1,1,1,0,0,0,0
518,"Uh, you can let loose a little bit. I hate being at parties sober because I just get mad at everyone else being drunk, but if you’re at the same level as them then everything’s funny and it’s more enjoyable. Um, it’s just a good way I think to spend time with your friends as long as nobody’s getting crazy. Um, but it’s just good way to get everybody together. ",1,1,1,0,0,0,0
520,"Um, some- some of the good things about drinking is it,um, is kind of a can act as a social, I guess, lubricant, and gets people talking to each other. Um, it’s a kind of a, uh I like the social use of it, going to parties and um hanging out with people. Talking to people who you haven’t seen before, meeting new people. Um, that’s kinda, I guess, the benefits of it. Um, what else do I like? Uh, I like, uh, helps me, uh, out on the dance floor, um [laughs], uh, let me see… Another thing that I would say that I like about drinking is, uh, is that it’s uh, I guess it’s a easy to go, go to the store and get some alcohol and it’s not hard to do. ",1,1,1,0,0,0,1
521,"Um, I guess I like the, the physical sensation it produces. Um, it, it’s a pleasant feeling being drunk, and it makes going out on the weekends seem sort of exciting, I guess. Um, makes it the, you know, being drunk at a party is a very different social situation than going to see movies with your friends or something. Um, I think it’s kind of a way to get into that, um, sort of, i don’t know, college-y mood. Um, like I’m, the parties that I’m drunk at are not always parties I would want to be sober at. So it’s definitely like a group thing, like get all the friends together, go out, um, and do it together. Hopefully-",1,0,0,0,1,1,0
522,"Um, I think that it, I get more relaxed. I tend to become a little more outgoing. Um, it’s a nice social environment with my friends that I really like. Um, yeah I think it just, yeah, it’s nice- I like the social aspects of it then spending time with some of my friends. Um, I- I think it’s fun to go out to bars with, with my friends. I’ve found some really cool places to hang out and it’s a nice way to kind of catch up with people that I haven’t seen in awhile. Especially now that we’re all finishing up. ",1,1,1,0,0,0,0
523,"Um, I like that I get happier when I have a few drinks. It’s easier to talk to people and hang out with my friends. It’s- I like that I get happier when I drink and, um, it’s easier for me to talk to my friends. I like the taste of alcohol. I like the atmosphere of drinking with people. ",1,0,1,1,1,0,0
